reviewId,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion,content_clean
85f9f155-b32e-4fee-8694-7abd94e2736d,아이 걍 다 좋음,5,0,6.0.402,2025-02-12,6.0.402,아이 걍 다 좋음
c956f0b1-27a0-49d1-b78a-985242bf6164,넘 재미있어요 그리고 쿠키들디자인이 하나같이 다 이쁨 마법사맛쿠키 제외,5,0,6.0.402,2025-02-12,,넘 재미있어요 그리고 쿠키들디자인이 하나같이 다 이쁨 마법사맛쿠키 제외
6f25ab2c-a583-4b46-b008-1f94f0caee00,어둠모드 17-30 완료하고 골드치즈왕국 탐험이벤트 크리스탈 천개 수령하려고 했는데 수령을 이미 했다고 표시되어있어요.. 얘는 그래서 아직 못 받은 상태이구요 어둠 18-30도 깬 적없는데 보상 수령했다고 체크되어있어요... 빠른 시일 내에 오류가 고쳐지길 바랍니다,5,0,6.1.002,2025-02-12,6.1.002,어둠모드 1730 완료하고 골드치즈왕국 탐험이벤트 크리스탈 천개 수령하려고 했는데 수령을 이미 했다고 표시되어있어요.. 얘는 그래서 아직 못 받은 상태이구요 어둠 1830도 깬 적없는데 보상 수령했다고 체크되어있어요.. 빠른 시일 내에 오류가 고쳐지길 바랍니다
b0ade0c3-e781-4a3e-8dfe-808ccac4de7e,"현재 게임 3년 반차. 왕국 레벨 63레벨 무과금 유저입니다. 이 게임은 심심할때, 할 거 없을때 등 하시면 재미있습니다. 다만 아레나 현질하는 사람은 매번 100위 안에 드는것이 불공평 하다고 생각합니다. 하지만 이 게임은 무언가 잘못 되었을때, 이벤트나 n주년이 되었을때 보상을 아주 풍부하게 주는게 아주 만족스럽다고 생각합니다. 1회 뽑기로도 비스트, 슈퍼에픽, 에이전트, 레전더리를 여러번 얻은 고인물은 아니지만 중수 유저가 이 게임을 아주 아주 추천 합니다.",5,51,6.0.402,2025-02-12,6.0.402,"현재 게임 3년 반차. 왕국 레벨 63레벨 무과금 유저입니다. 이 게임은 심심할때, 할 거 없을때 등 하시면 재미있습니다. 다만 아레나 현질하는 사람은 매번 100위 안에 드는것이 불공평 하다고 생각합니다. 하지만 이 게임은 무언가 잘못 되었을때, 이벤트나 n주년이 되었을때 보상을 아주 풍부하게 주는게 아주 만족스럽다고 생각합니다. 1회 뽑기로도 비스트, 슈퍼에픽, 에이전트, 레전더리를 여러번 얻은 고인물은 아니지만 중수 유저가 이 게임을 아주 아주 추천 합니다."
73b79abc-b6c3-46ac-b47c-09fec460b4db,운빨 망겜,1,3,6.0.405,2025-02-12,6.0.405,운빨 망겜
5d375117-d188-44d6-95a1-d194f5180a97,데브시스터즈는 작두를 진짜 잘 타는거 같음^^,5,0,6.0.402,2025-02-12,6.0.402,데브시스터즈는 작두를 진짜 잘 타는거 같음
97910e81-05ae-4a35-bccc-4d5dfabf4c29,이 게임을 해보니 다양한 캐릭터 들과 다양한 집들을 많이 짓을 수 있어서 너무 좋고. 뽑기나 다양한 체험? 그거를 할 수 있게 되어서 너무 좋습니다.,5,1,6.0.402,2025-02-12,6.0.402,이 게임을 해보니 다양한 캐릭터 들과 다양한 집들을 많이 짓을 수 있어서 너무 좋고. 뽑기나 다양한 체험? 그거를 할 수 있게 되어서 너무 좋습니다.
189d643f-3422-4f57-bf1b-eaa4f906d8dc,재미있어요.,5,0,6.0.402,2025-02-12,6.0.402,재미있어요.
29c739f5-b435-4c1e-8ff9-92b023d8ce7e,재밌는 요소가 많고 플레이를 하면 할수록 재밌어진다 많이 접었다가 복귀하긴 했지만 계발자가 게임을 위해 노력하는 모습이 보이는 게임이다 플래이를 추천한다 하지만 아레나에서는 에픽 쿠키가 거의 안쓰이다 싶이하고 있고 쿠키중에 안쓰이는 쿠키들은 계속 안쓰인다 비스트쿠키 처럼 확률이 적은 쿠키가 사기로 나와 무과금러들은 많이 플레이하면 할수록 힘들어진다 그점은 계선하면 좋겠다,5,3,6.1.002,2025-02-12,6.1.002,재밌는 요소가 많고 플레이를 하면 할수록 재밌어진다 많이 접었다가 복귀하긴 했지만 계발자가 게임을 위해 노력하는 모습이 보이는 게임이다 플래이를 추천한다 하지만 아레나에서는 에픽 쿠키가 거의 안쓰이다 싶이하고 있고 쿠키중에 안쓰이는 쿠키들은 계속 안쓰인다 비스트쿠키 처럼 확률이 적은 쿠키가 사기로 나와 무과금러들은 많이 플레이하면 할수록 힘들어진다 그점은 계선하면 좋겠다
d8df5b69-8d46-4754-bb33-8ac079c7c342,딱 한마디만 할게요 존잼,5,1,6.0.402,2025-02-12,6.0.402,딱 한마디만 할게요 존잼
